# x,y,susceptibility,density
-1.681000000000000000e+06,1.723750000000000000e+06,-4.439296324385000325e-05,1.256562009776587274e+00
-1.680750000000000000e+06,1.723750000000000000e+06,8.253816596626162294e-05,1.242811476073626409e+00
-1.680500000000000000e+06,1.723750000000000000e+06,2.559635174259194956e-04,1.219275651474163169e+00
-1.680250000000000000e+06,1.723750000000000000e+06,4.693564333576316638e-04,1.190124812380560115e+00
-1.680000000000000000e+06,1.723750000000000000e+06,7.173458014950312434e-04,1.155900491488324633e+00
-1.679750000000000000e+06,1.723750000000000000e+06,9.874551426340694160e-04,1.116060366328269993e+00
-1.679500000000000000e+06,1.723750000000000000e+06,1.251181190275341137e-03,1.070592921643566342e+00
-1.679250000000000000e+06,1.723750000000000000e+06,1.482662479401722355e-03,1.020377908739646955e+00
-1.679000000000000000e+06,1.723750000000000000e+06,1.678371236700365587e-03,9.646124082962046487e-01
-1.678750000000000000e+06,1.723750000000000000e+06,1.857633052843282728e-03,8.933352436239374583e-01
-1.678500000000000000e+06,1.723750000000000000e+06,2.057900029607956371e-03,7.567948928207215431e-01
-1.678250000000000000e+06,1.723750000000000000e+06,2.168990581061125411e-03,7.064391399524367898e-01
-1.678000000000000000e+06,1.723750000000000000e+06,2.198561367049586823e-03,6.617443399303795104e-01
-1.677750000000000000e+06,1.723750000000000000e+06,2.150304127552904454e-03,7.585774927181887506e-01
-1.677500000000000000e+06,1.723750000000000000e+06,2.024054605793440542e-03,8.621243052127169904e-01
-1.677250000000000000e+06,1.723750000000000000e+06,1.794939131128131526e-03,1.016424050106053301e+00
-1.677000000000000000e+06,1.723750000000000000e+06,1.495234671527415071e-03,1.218652908567264603e+00
-1.676750000000000000e+06,1.723750000000000000e+06,1.186830922400503030e-03,1.337202970058285700e+00
-1.676500000000000000e+06,1.723750000000000000e+06,8.449875464710265849e-04,1.450253306878977355e+00
-1.676250000000000000e+06,1.723750000000000000e+06,5.149573506760540820e-04,1.576088918577511322e+00
-1.676000000000000000e+06,1.723750000000000000e+06,2.146788169879593200e-04,1.693001236857952563e+00
-1.675750000000000000e+06,1.723750000000000000e+06,-3.370389757000047393e-05,1.791274850248612438e+00
-1.675500000000000000e+06,1.723750000000000000e+06,-2.503527364326324500e-04,1.870813078190764145e+00
-1.675250000000000000e+06,1.723750000000000000e+06,-4.225321619242966564e-04,1.955834197951475062e+00
-1.675000000000000000e+06,1.723750000000000000e+06,-4.897395266128257152e-04,2.053071467328408062e+00
-1.674750000000000000e+06,1.723750000000000000e+06,-4.471275400868696126e-04,2.152219148657053438e+00
-1.674500000000000000e+06,1.723750000000000000e+06,-3.221918100412279884e-04,2.235611514235898767e+00
-1.674250000000000000e+06,1.723750000000000000e+06,-1.660573357907257908e-04,2.292001421138337491e+00
-1.674000000000000000e+06,1.723750000000000000e+06,-1.915639744637376296e-06,2.329786064584169480e+00
-1.673750000000000000e+06,1.723750000000000000e+06,1.875473056477811040e-04,2.357693346240296250e+00
